DATA: 4410 x 15
Ep!
Feature 0
-0.286342	rho[0][11]
0.25574	rho[0][10]
-0.254977	rho[0][3]
0.242183	rho[0][2]
0.219087	rho[0][12]
-0.210074	rho[0][9]
-0.207933	rho[0][1]
-0.170434	rho[0][13]
0.153493	rho[0][4]
-0.118486	rho[0][5]
0.079037	rho[0][8]
0.0661733	rho[0][6]
0.0609225	rho[0][7]
-0.00295596	rho[0][14]

Feature 1
-0.832476	rho[1][2]
0.799349	rho[1][3]
-0.596704	rho[1][4]
0.512648	rho[1][11]
0.503584	rho[1][5]
0.477578	rho[1][13]
-0.346629	rho[1][12]
0.296116	rho[1][9]
-0.227846	rho[1][10]
-0.207933	rho[1][0]
0.125309	rho[1][7]
-0.0961464	rho[1][6]
0.0911863	rho[1][14]
0.0416665	rho[1][8]

Feature 2
-0.872597	rho[2][3]
-0.832476	rho[2][1]
0.811793	rho[2][4]
-0.617949	rho[2][5]
0.399286	rho[2][12]
-0.395643	rho[2][13]
-0.392519	rho[2][11]
0.246501	rho[2][6]
0.242183	rho[2][0]
0.192624	rho[2][10]
-0.154755	rho[2][9]
-0.137817	rho[2][7]
-0.0333922	rho[2][8]
-0.0177957	rho[2][14]

Feature 3
-0.872597	rho[3][2]
-0.870434	rho[3][4]
0.799349	rho[3][1]
0.773108	rho[3][5]
0.408108	rho[3][13]
-0.405231	rho[3][6]
0.400856	rho[3][11]
-0.309235	rho[3][12]
-0.254977	rho[3][0]
0.241238	rho[3][7]
0.13359	rho[3][9]
-0.0947429	rho[3][10]
0.0167367	rho[3][8]
0.0163582	rho[3][14]

Feature 4
-0.895061	rho[4][5]
-0.870434	rho[4][3]
0.811793	rho[4][2]
0.625408	rho[4][6]
-0.596704	rho[4][1]
-0.404342	rho[4][7]
-0.232075	rho[4][13]
0.211427	rho[4][12]
-0.169778	rho[4][11]
0.153493	rho[4][0]
0.119122	rho[4][8]
-0.0472925	rho[4][9]
0.0135539	rho[4][10]
0.00121441	rho[4][14]

Feature 5
-0.895061	rho[5][4]
