DATA: 4410 x 16
Ep!
Feature 0
-0.494676	rho[0][5]
-0.36652	rho[0][8]
-0.252137	rho[0][3]
-0.20997	rho[0][10]
-0.201185	rho[0][11]
0.173204	rho[0][14]
0.154657	rho[0][15]
0.134038	rho[0][2]
0.120081	rho[0][9]
0.0918692	rho[0][6]
0.083425	rho[0][4]
0.0609835	rho[0][13]
-0.055201	rho[0][1]
0.0238055	rho[0][12]
0.00638944	rho[0][7]

Feature 1
-0.340348	rho[1][6]
0.324008	rho[1][8]
-0.216153	rho[1][3]
-0.191998	rho[1][12]
0.17043	rho[1][2]
-0.135748	rho[1][5]
-0.134654	rho[1][11]
-0.134465	rho[1][4]
0.0779217	rho[1][7]
-0.055201	rho[1][0]
-0.0383031	rho[1][9]
0.0374189	rho[1][13]
0.0171779	rho[1][14]
-0.0157714	rho[1][15]
-0.00377754	rho[1][10]

Feature 2
-0.216865	rho[2][3]
0.17043	rho[2][1]
-0.16021	rho[2][6]
0.134038	rho[2][0]
-0.133941	rho[2][5]
-0.124494	rho[2][7]
-0.107255	rho[2][11]
0.0771581	rho[2][13]
0.0741854	rho[2][4]
-0.0674532	rho[2][8]
-0.0657023	rho[2][12]
0.0514372	rho[2][15]
0.0345034	rho[2][14]
-0.0112574	rho[2][9]
-0.00550263	rho[2][10]

Feature 3
-0.252137	rho[3][0]
0.243756	rho[3][10]
-0.216865	rho[3][2]
-0.216153	rho[3][1]
-0.176854	rho[3][15]
0.172324	rho[3][5]
-0.130102	rho[3][9]
-0.129659	rho[3][14]
-0.111403	rho[3][13]
0.0903395	rho[3][12]
-0.0675316	rho[3][4]
0.0624312	rho[3][6]
-0.044169	rho[3][8]
-0.0137634	rho[3][7]
-0.0112692	rho[3][11]

Feature 4
-0.165132	rho[4][5]
-0.15927	rho[4][8]
-0.134465	rho[4][1]
-0.131869	rho[4][6]
0.083425	rho[4][0]
0.0741854	rho[4][2]
-0.0675316	rho[4][3]
-0.0604201	rho[4][7]
-0.0405136	rho[4][9]
0.036899	rho[4][15]
0.036082	rho[4][10]
0.0319147	rho[4][13]
-0.0264309	rho[4][11]
-0.0144185	rho[4][12]
-0.00784536	rho[4][14]

Feature 5
-0.494676	rho[5][0]
-0.223623	rho[5][7]
0.220693	rho[5][8]
-0.205236	rho[5][15]
-0.203652	rho[5][14]
0.177072	rho[5][11]
0.172324	rho[5][3]
-0.165132	rho[5][4]
-0.157212	rho[5][13]
-0.135748	rho[5][1]
-0.133941	rho[5][2]
-0.102867	rho[5][9]
-0.0528888	rho[5][10]
-0.0448333	rho[5][6]
0.0382215	rho[5][12]

Feature 6
-0.340348	rho[6][1]
-0.199251	rho[6][8]
-0.16021	rho[6][2]
-0.158972	rho[6][7]
-0.131869	rho[6][4]
0.119682	rho[6][9]
-0.104498	rho[6][10]
-0.0966205	rho[6][15]
0.0918692	rho[6][0]
0.0624312	rho[6][3]
